Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016911,Brighton and Hove 009E,5,Household is deprived in four dimensions,2
E01016912,Brighton and Hove 018C,-8,Does not apply,0
E01016912,Brighton and Hove 018C,1,Household is not deprived in any dimension,349
E01016912,Brighton and Hove 018C,2,Household is deprived in one dimension,278
E01016912,Brighton and Hove 018C,3,Household is deprived in two dimensions,114
E01016912,Brighton and Hove 018C,4,Household is deprived in three dimensions,23
E01016912,Brighton and Hove 018C,5,Household is deprived in four dimensions,0
E01016913,Brighton and Hove 018D,-8,Does not apply,0
E01016913,Brighton and Hove 018D,1,Household is not deprived in any dimension,326
E01016913,Brighton and Hove 018D,2,Household is deprived in one dimension,229
E01016913,Brighton and Hove 018D,3,Household is deprived in two dimensions,79
E01016913,Brighton and Hove 018D,4,Household is deprived in three dimensions,10
E01016913,Brighton and Hove 018D,5,Household is deprived in four dimensions,0
E01016914,Brighton and Hove 002C,-8,Does not apply,0
E01016914,Brighton and Hove 002C,1,Household is not deprived in any dimension,131
E01016914,Brighton and Hove 002C,2,Household is deprived in one dimension,147
E01016914,Brighton and Hove 002C,3,Household is deprived in two dimensions,135
E01016914,Brighton and Hove 002C,4,Household is deprived in three dimensions,54
E01016914,Brighton and Hove 002C,5,Household is deprived in four dimensions,5
E01016915,Brighton and Hove 002D,-8,Does not apply,0
E01016915,Brighton and Hove 002D,1,Household is not deprived in any dimension,121
E01016915,Brighton and Hove 002D,2,Household is deprived in one dimension,142
E01016915,Brighton and Hove 002D,3,Household is deprived in two dimensions,135
E01016915,Brighton and Hove 002D,4,Household is deprived in three dimensions,66
E01016915,Brighton and Hove 002D,5,Household is deprived in four dimensions,6
E01016916,Brighton and Hove 005A,-8,Does not apply,0
E01016916,Brighton and Hove 005A,1,Household is not deprived in any dimension,272
E01016916,Brighton and Hove 005A,2,Household is deprived in one dimension,234
E01016916,Brighton and Hove 005A,3,Household is deprived in two dimensions,86
E01016916,Brighton and Hove 005A,4,Household is deprived in three dimensions,11
E01016916,Brighton and Hove 005A,5,Household is deprived in four dimensions,0
E01016917,Brighton and Hove 005B,-8,Does not apply,0
E01016917,Brighton and Hove 005B,1,Household is not deprived in any dimension,283
E01016917,Brighton and Hove 005B,2,Household is deprived in one dimension,206
E01016917,Brighton and Hove 005B,3,Household is deprived in two dimensions,62
E01016917,Brighton and Hove 005B,4,Household is deprived in three dimensions,19
E01016917,Brighton and Hove 005B,5,Household is deprived in four dimensions,1
E01016918,Brighton and Hove 005C,-8,Does not apply,0
E01016918,Brighton and Hove 005C,1,Household is not deprived in any dimension,188
E01016918,Brighton and Hove 005C,2,Household is deprived in one dimension,212
